n_threads,time,n_points,dimensionality
1,0.0252222,1000,4096
1,0.0254089,1000,4096
1,0.0185699,1000,4096
1,0.0179034,1000,4096
1,0.0185611,1000,4096
1,0.0180577,1000,4096
1,0.0177391,1000,4096
1,0.0171726,1000,4096
1,0.0183197,1000,4096
1,0.0178917,1000,4096
2,0.035448,1440,4096
2,0.0291272,1440,4096
2,0.0423172,1440,4096
2,0.0420617,1440,4096
2,0.0428659,1440,4096
2,0.0405819,1440,4096
2,0.0443296,1440,4096
2,0.0441168,1440,4096
2,0.0420423,1440,4096
2,0.0416392,1440,4096
4,0.0579058,2487,4096
4,0.0568755,2487,4096
4,0.0561151,2487,4096
4,0.0566035,2487,4096
4,0.0571724,2487,4096
4,0.0554931,2487,4096
4,0.089713,2487,4096
4,0.0561976,2487,4096
4,0.0565492,2487,4096
4,0.057005,2487,4096
8,0.130039,5155,4096
8,0.0960129,5155,4096
8,0.0971305,5155,4096
8,0.0972612,5155,4096
8,0.0964332,5155,4096
8,0.0949714,5155,4096
8,0.0968608,5155,4096
8,0.0957892,5155,4096
8,0.0958038,5155,4096
8,0.0969903,5155,4096
16,0.147711,8907,4096
16,0.147818,8907,4096
16,0.146143,8907,4096
16,0.150136,8907,4096
16,0.148674,8907,4096
16,0.145606,8907,4096
16,0.145651,8907,4096
16,0.147522,8907,4096
16,0.146892,8907,4096
16,0.145867,8907,4096
32,0.304692,18468,4096
32,0.288295,18468,4096
32,0.288582,18468,4096
32,0.285688,18468,4096
32,0.289721,18468,4096
32,0.289205,18468,4096
32,0.284685,18468,4096
32,0.287497,18468,4096
32,0.290986,18468,4096
32,0.287317,18468,4096
